Search Results: Wisconsin / 2016 
FIPS code,State,Jurisdiction,Division,Precincts,Total Registration,Make,Model,Equipment Type,VVPAT,Accessible Use,Early Voting,Absentee Ballots,Polling Place
5500177800,Wisconsin,Adams Town,Strongs Prairie,1,684,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500177800,Wisconsin,Adams Town,Strongs Prairie,1,684,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500300550,Wisconsin,Ashland Town,Agenda,1,273,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500300550,Wisconsin,Ashland Town,Agenda,1,273,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500303225,Wisconsin,Ashland City,Ashland,11,4882,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500303225,Wisconsin,Ashland City,Ashland,11,4882,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500303250,Wisconsin,Ashland Town,Ashland,1,362,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500303250,Wisconsin,Ashland Town,Ashland,1,362,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500311525,Wisconsin,Ashland Village,Butternut,1,184,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500311525,Wisconsin,Ashland Village,Butternut,1,184,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500314550,Wisconsin,Ashland Town,Chippewa,1,247,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500314550,Wisconsin,Ashland Town,Chippewa,1,247,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500329250,Wisconsin,Ashland Town,Gingles,1,476,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500329250,Wisconsin,Ashland Town,Gingles,1,476,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
